User,Username,UTC Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
𝚃𝚢𝚕𝚎𝚛 𝙶𝚊𝚕𝚙𝚒𝚗 #cancelpercy,@HydeOutcast,2023-01-19 07:32:37,"RT @afilmbyace: tw : racism  mention of slur 

i think we, his victims, women, poc, the lgbtq+ community, and all of the ppl he's targeted, made fun of and oversexualized should all collectively take him down rq it's for the best
#cancelpercy #putpercybehindbars https://t.co/67Y28DcP4c",,https://www.twitter.com/user/status/1615975500240805889,0,0,0.29
PrimarinaGurl,@PrimarinaG,2023-01-19 07:32:27,@Deeteckz can you explain please? I am not following what you mean other than that Evan Stanley tends to be targeted.,,https://www.twitter.com/user/status/1615975460386623488,0,0,0.04
Helen Hailu,@HelenHailu21,2023-01-19 07:32:20,"RT @Tsega86721973: The International community has an obligation to protect children &amp; their rights. #ChildrenOfTigray are facing genocide, being deliberately targeted in satanic ways the 🌎 has never seen. #EritreaOutOfTigray❗️❗️ #DeclareTigrayFamine @UNHumanRights @SecBlinken @BradSherman @WFP https://t.co/aMALBdzBca",,https://www.twitter.com/user/status/1615975428409139200,0,0,1.49
DEE NEWS,@DEENEWS_IN,2023-01-19 07:32:19,"Mobile theft is being trained in schools, children are being targeted daily, money is being taken in exchange https://t.co/zQPh6FJnFZ",,https://www.twitter.com/user/status/1615975426761060353,0,0,0.12
Enya,@EnyaInTheWorld,2023-01-19 07:32:16,"@traceyam1971 @JeremyVineOn5 Not over 65 here and I stick to the facts. 

Virginia Giufre was of legal age, an adult, when the stupidly naive Andrew met her at a party and was targeted by her, Maxwell &amp; Epstein.",,https://www.twitter.com/user/status/1615975414731800576,0,1,0.09
ATZ,@AteezAt65634607,2023-01-19 07:32:16,"RT @realanindita: So true nimrit, you are stating the facts. She is the most targeted person of this season still she manages to survive with a big smile on her face and holding her honesty and positivity
#SumbulTouqeerKhan #SumbulSquad #BiggBoss16 #BB16 #SumbulTouqeerKhan𓃵 #NimSum #ShivSum https://t.co/p8aruyWmmv",,https://www.twitter.com/user/status/1615975413767098369,0,0,0.04
Sensei,@tejaspa46745203,2023-01-19 07:32:11,"RT @PurpleKookie20: @ColorsTV @BeingSalmanKhan @Chingssecret @soundarya_20 @BhanotShalin You can show her being targeted narrative all you want but the truth is the strongest and most secure contestant in the house not interested to target her…so this narrative everyone targets her fails already 

#ShivThakare 
#BiggBoss16",,https://www.twitter.com/user/status/1615975393210822656,0,0,0.48
Amira Ben Khalifa,@AmiraBenKhalif4,2023-01-19 07:32:08,"RT @realanindita: So true nimrit, you are stating the facts. She is the most targeted person of this season still she manages to survive with a big smile on her face and holding her honesty and positivity
#SumbulTouqeerKhan #SumbulSquad #BiggBoss16 #BB16 #SumbulTouqeerKhan𓃵 #NimSum #ShivSum https://t.co/p8aruyWmmv",,https://www.twitter.com/user/status/1615975381525495810,0,0,0.08
SSK💖💖,@Sameenasher25,2023-01-19 07:32:03,"RT @realanindita: So true nimrit, you are stating the facts. She is the most targeted person of this season still she manages to survive with a big smile on her face and holding her honesty and positivity
#SumbulTouqeerKhan #SumbulSquad #BiggBoss16 #BB16 #SumbulTouqeerKhan𓃵 #NimSum #ShivSum https://t.co/p8aruyWmmv",,https://www.twitter.com/user/status/1615975359115153409,0,0,1.2
Vikrant,@VS0007,2023-01-19 07:31:57,"@Ravisutanjani Boat products are targeted at those who can't afford senheiser, Marshall, sony kinda brands.

Basically outside metros, people used to sell earphones and that was a highly disorganised

Boat organized that for target base. That's it

Quality, Make in India etc is far but they can",,https://www.twitter.com/user/status/1615975333324554240,1,65,0.09
